repeat_seed,fold,branch,feature,rank
42,3,clinical,Mri results_Distant Metastasis [e.g. cM1],7
42,3,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8550/3",8
42,3,clinical,Ct scan ab pelvis results_No Evidence of Extraprostatic Extension,9
42,3,clinical,Patient Primary Tumor Site_Central Zone,10
42,3,clinical,Year Cancer Initial Diagnosis,11
42,3,clinical,American Joint Committee on Cancer Tumor Stage Code_T3a,12
42,3,clinical,Mri results_Extraprostatic Extension Localized (e.g. seminal vesicles)|Extraprostatic Extension (regional lymphadenopathy) [e.g. cN1],13
42,3,clinical,Tissue Prospective Collection Indicator_YES,14
42,3,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8140/3",15
42,3,clinical,Mri results_No Evidence of Extraprostatic Extension|Equivocal,16
42,3,clinical,Did patient start adjuvant postoperative radiotherapy?_NO,17
42,3,clinical,Ct scan ab pelvis results_Distant Metastasis [e.g. cM1],18
42,3,clinical,Diagonstic MRI Result_YES,19
42,3,clinical,Gleason pattern secondary,20
42,3,clinical,Primary Therapy Outcome Success Type_Stable Disease,21
42,3,clinical,American Joint Committee on Cancer Tumor Stage Code_T2b,22
42,3,clinical,Mri results_Equivocal,23
42,3,clinical,Ct scan ab pelvis results_Equivocal,24
42,3,clinical,Primary Lymph Node Presentation Assessment Ind-3_YES,25
42,3,clinical,Tissue Retrospective Collection Indicator_YES,26
42,3,clinical,Tissue Retrospective Collection Indicator_NO,27
42,3,clinical,Ct scan ab pelvis indicator_NO,28
42,3,clinical,"Prior Cancer Diagnosis Occurence_Yes, History of Prior Malignancy",29
42,3,clinical,Mri results_No Evidence of Extraprostatic Extension,30
42,3,clinical,Mri results_Extraprostatic Extension Localized (e.g. seminal vesicles),31
42,3,clinical,Ct scan ab pelvis results_Extraprostatic Extension  Localized (e.g. seminal vesicles),32
42,3,clinical,Ct scan ab pelvis indicator_YES,33
42,3,clinical,Primary Therapy Outcome Success Type_Progressive Disease,34
42,3,clinical,Did patient start adjuvant postoperative radiotherapy?_YES,35
42,3,clinical,Surgical Margin Resection Status_RX,36
42,3,clinical,Surgical Margin Resection Status_R2,37
42,3,clinical,Surgical Margin Resection Status_R0,38
42,3,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8480/3",39
42,3,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8255/3",40
42,4,genomic,Tumor Other Histologic Subtype_Prostatic Adenocarcinoma Acinar Type Mixed with Prostatic Duct Adenocarcinoma,1
42,4,genomic,ACAP3,2
42,4,genomic,UBL7,3
42,4,genomic,MANEA,4
42,4,genomic,SPAG5,5
42,4,genomic,DFNB42,6
42,4,genomic,MMP13,7
42,4,genomic,GNB2L1,8
42,4,genomic,TUBA3FP,9
42,4,genomic,CDC37L1,10
42,4,genomic,CARD19,11
42,4,genomic,AFMID,12
42,4,genomic,E2F3,13
42,4,genomic,SPACA6P,14
42,4,genomic,IL1A,15
42,4,genomic,CYP19A1,16
42,4,genomic,SUPT7L,17
42,4,genomic,RECQL5,18
42,4,genomic,Tumor Other Histologic Subtype_acinar and cribriform,19
42,4,genomic,ATG10,20
42,4,genomic,CEP170,21
42,4,genomic,UBA2,22
42,4,genomic,IL4I1,23
42,4,genomic,SRGAP2,24
42,4,genomic,DKFZp547O146,25
42,4,genomic,TRAPPC8,26
42,4,genomic,CREB3L2,27
42,4,genomic,GIGYF2,28
42,4,genomic,YTHDC2,29
42,4,genomic,HSD11B1L,30
42,4,genomic,C6orf89,31
42,4,genomic,SUGT1P4-STRA6LP-CCDC180,32
42,4,genomic,DNMT3B,33
42,4,genomic,VENTXP7,34
42,4,genomic,ZNF343,35
42,4,genomic,SLC25A43,36
42,4,genomic,SGK1,37
42,4,genomic,OGT,38
42,4,genomic,IREB2,39
42,4,genomic,LCN2,40
42,4,clinical,American Joint Committee on Cancer Tumor Stage Code_T3b,1
42,4,clinical,Surgical Margin Resection Status_R2,2
42,4,clinical,"Prior Cancer Diagnosis Occurence_Yes, History of Synchronous/Bilateral Malignancy",3
42,4,clinical,American Joint Committee on Cancer Tumor Stage Code_T4,4
42,4,clinical,Year Cancer Initial Diagnosis,5
42,4,clinical,Mri results_Extraprostatic Extension Localized (e.g. seminal vesicles),6
42,4,clinical,Ct scan ab pelvis indicator_NO,7
