run_seed,branch,feature,rank
507,genomic,PHACTR4,25
507,genomic,DCAF4,26
507,genomic,TSSK3,27
507,genomic,SDHAL2,28
507,genomic,SORBS3,29
507,genomic,ASAH2C,30
507,genomic,PMAIP1,31
507,genomic,STXBP4,32
507,genomic,RSKR,33
507,genomic,SLC25A39,34
507,genomic,SWSAP1,35
507,genomic,RAC2,36
507,genomic,SENP8,37
507,genomic,ANXA1,38
507,genomic,WNT9B,39
507,genomic,FBXL16,40
507,clinical,Person Neoplasm Status_WITH TUMOR,1
507,clinical,Person Neoplasm Status_TUMOR FREE,2
507,clinical,American Joint Committee on Cancer Tumor Stage Code_T4,3
507,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T1c,4
507,clinical,American Joint Committee on Cancer Tumor Stage Code_T2b,5
507,clinical,Patient Primary Tumor Site_Transition Zone,6
507,clinical,Diagonstic MRI Result_YES,7
507,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T3a,8
507,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T3b,9
507,clinical,Year Cancer Initial Diagnosis,10
507,clinical,Tissue Prospective Collection Indicator_NO,11
507,clinical,Surgical Margin Resection Status_R0,12
507,clinical,Race Category_BLACK OR AFRICAN AMERICAN,13
507,clinical,Bone Scan Result_Abnormal (not related to prostate cancer),14
507,clinical,Primary Therapy Outcome Success Type_Progressive Disease,15
507,clinical,Mri results_Extraprostatic Extension Localized (e.g. seminal vesicles),16
507,clinical,Tumor Level_Apex|Base,17
507,clinical,SEX,18
507,clinical,Ct scan ab pelvis results_Extraprostatic Extension (regional lymphadenopathy)[e.g. cN1],19
507,clinical,Surgical Margin Resection Status_RX,20
507,clinical,Tumor Level_Apex|Middle|Base,21
507,clinical,Primary Tumor Laterality_Bilateral,22
