2026-09-19 02:40:18 | INFO     | prostate_bcr | NestedCV genomic PSO selected 40 features with final fitness=0.7740
2026-09-19 02:40:21 | INFO     | prostate_bcr | NestedCV clinical PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:40:37 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 5/10: best Fitness=0.8133 (Raw AUC ~= 0.8533)
2026-09-19 02:40:53 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 10/10: best Fitness=0.8167 (Raw AUC ~= 0.8567)
2026-09-19 02:40:53 | INFO     | prostate_bcr | NestedCV clinical PSO selected 40 features with final fitness=0.8167
2026-09-19 02:40:54 | INFO     | prostate_bcr | Repeat seed=44 fold 4/5 ...
2026-09-19 02:40:55 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:40:55 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:40:58 | INFO     | prostate_bcr | Preprocessing fitted on 343 training samples
2026-09-19 02:41:35 | INFO     | prostate_bcr | Genomic selector: 18904 variance \u2192 200 MI features
2026-09-19 02:41:35 | INFO     | prostate_bcr | Clinical selector: 77 variance -> 77 MI features
2026-09-19 02:41:38 | INFO     | prostate_bcr | NestedCV genomic PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:41:58 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 5/10: best Fitness=0.8257 (Raw AUC ~= 0.8657)
2026-09-19 02:42:18 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 10/10: best Fitness=0.8257 (Raw AUC ~= 0.8657)
2026-09-19 02:42:18 | INFO     | prostate_bcr | NestedCV genomic PSO selected 40 features with final fitness=0.8257
2026-09-19 02:42:21 | INFO     | prostate_bcr | NestedCV clinical PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:42:37 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 5/10: best Fitness=0.8251 (Raw AUC ~= 0.8651)
2026-09-19 02:42:54 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 10/10: best Fitness=0.8316 (Raw AUC ~= 0.8716)
2026-09-19 02:42:54 | INFO     | prostate_bcr | NestedCV clinical PSO selected 40 features with final fitness=0.8316
2026-09-19 02:42:54 | INFO     | prostate_bcr | Repeat seed=44 fold 5/5 ...
2026-09-19 02:42:55 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:42:55 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:42:58 | INFO     | prostate_bcr | Preprocessing fitted on 344 training samples
2026-09-19 02:43:30 | INFO     | prostate_bcr | Genomic selector: 18904 variance \u2192 200 MI features
2026-09-19 02:43:30 | INFO     | prostate_bcr | Clinical selector: 76 variance -> 76 MI features
2026-09-19 02:43:34 | INFO     | prostate_bcr | NestedCV genomic PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:43:53 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 5/10: best Fitness=0.8055 (Raw AUC ~= 0.8455)
2026-09-19 02:44:14 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 10/10: best Fitness=0.8135 (Raw AUC ~= 0.8535)
2026-09-19 02:44:14 | INFO     | prostate_bcr | NestedCV genomic PSO selected 40 features with final fitness=0.8135
2026-09-19 02:44:17 | INFO     | prostate_bcr | NestedCV clinical PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:44:33 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 5/10: best Fitness=0.7487 (Raw AUC ~= 0.7887)
2026-09-19 02:44:50 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 10/10: best Fitness=0.7509 (Raw AUC ~= 0.7909)
2026-09-19 02:44:50 | INFO     | prostate_bcr | NestedCV clinical PSO selected 40 features with final fitness=0.7509
2026-09-19 02:44:50 | INFO     | prostate_bcr | Repeat seed=44 done: OOF AUC=0.7616 (weights 0.34/0.66), 9.7 min
=== Step 6: repeated nested CV from raw TCGA ===
Repeats: 3 x 5 folds | runtime 28.9 min
  seed 42: OOF AUC=0.7817, weights=0.33/0.67, threshold=0.2712
  seed 43: OOF AUC=0.8023, weights=0.00/1.00, threshold=0.1602
  seed 44: OOF AUC=0.7616, weights=0.34/0.66, threshold=0.1881
Mean OOF AUC = 0.7819 ± 0.0203
